,,Equity,,,,,,,
,,,Share,,,Other,Adjust-,"Grants, donations",
,,Share,premium,Treasury,Profit/,equity,ments for changes in,and,Total equity
,,capital,and reserves,stock,(loss) for the period,instru- ments,value,legacies received,
Opening balance at 01/01/2025,3010,3.074,(13.792),(5.545),75.546,-,(28),1.029,60.284
Adjustments for changes in accounting policies,3011,,,,,,,,
Adjustments for errors,3012,,,,,,,,
Adjusted opening balance,3015,3.074,(13.792),(5.545),75.546,-,(28),1.029,60.284
I. Total recognized income/(expenses),3020,,,,12.036,,(4),(160),11.872
II. Transactions with shareholders or owners,3025,,(948),932,(47.911),,,,(47.927)
1. Capital increases/(reductions),3026,,,,,,,,
2. Conversion of financial liabilities to equity,3027,,,,,,,,
3. Distribution of dividends,3028,,,,(47.911),,,,(47.911)
4. Treasury stock transactions (net),3029,,(948),932,,,,,(16)
5.Increases/(reductions) due to business combinations,3030,,,,,,,,
6. Other transactions with shareholders or owners,3032,,,,,,,,
III. Other equity transactions,3035,,27.635,,(27.635),,,,-
1. Payments based on equity instruments,3036,,,,,,,,
2. Transfers between equity items,3037,,27.635,,(27.635),,,,
3. Other changes,3038,,-,,,,,,-
Closing balance at 30/06/2025,3040,3.074,12.895,(4.613),12.036,-,(32),869,24.229
