,Miles de euros,,,,,
,Cuenta de pérdidas y ganancias,,,,Ingresos y gastos imputados directamente al patrimonio neto,
Saldo ingresos y gastos,,,65.143,,,(294)
,Aumentos Disminuciones Total,,,,Aumentos Disminuciones Total,
Impuesto sobre Sociedades Diferencias permanentes - Individuales - De consolidación Diferencias temporarias: - Individuales - con origen en el ejercicio - con origen en ejercicios ant. - De Consolidación - con origen en el ejercicio - con origen en ejercicios ant. Base imponible previa,,,(6.249),,,(98)
,,,,,,
,847,—,847,,— — — — — —,
,— (23.715) (23.715),,,,,
,,,,,,
,5.916,—,5.916,,— — — — — —,
,235 (7.747) (7.512),,,,,
,,,,,,
,— (11.522) (11.522) 13.228 — 13.228,,,,— — — — — —,
,,,36.136,,,(392)
