,2025 2024,
Beneficio antes de impuestos,183.263 177.690 (45.816) (44.422) 33 (35),
Impuesto calculado al tipo impositivo nacional del 25%,,
Resultados de sociedades consolidadas por el método de la participación,,
Movimiento de bases imponibles negativas activadas,—,(56)
Ajuste gasto IS ejercicios anteriores,556 905 (812) (929) (266) (517) 3.610 4.459 — (24),
Gastos no deducibles a efectos fiscales,,
Diferencia impositiva en resultados de dependientes,,
Deducciones de I+D aplicadas,,
Movimiento de deducciones de I+D activadas,,
Deducción por doble imposición internacional,(204),(195)
Gasto por impuesto,(42.899) (40.814),
