,Note,31 December,
,,2024,2023
"ASSETS Non-current assets Property, plant and equipment Intangible assets Investments in joint ventures and associates Deferred tax assets Equity securities Financial receivables Current assets Inventories Trade and other receivables Current income tax assets Prepaid expenses",6 7 10 19 9 & 11 9 & 13 12 9 & 13 28,"286,622 33,950 19,516 2,263","253,652 33,902 567 2,343 24 65"
,,—,
,,65,
,,"342,416","290,553"
,,"329,954 129,471 81 2,687","337,968 143,314"
,,,—
,,,"2,727"
Financial assets at amortised cost,,227,—
Cash and cash equivalents,9 & 14,"27,186","25,322"
,,"489,606","509,331"
,,,
Total assets,,"832,022","799,884"
