,Thousands of euros,
,2018,2017
Payments for investments:,-,(5)
- Group and associated companies (Note 8),,
- Intangible assets (Note 5),"(9,881)","(5,194)"
"- Property, plant and equipment (Note 6)","(5,461)","(6,560)"
,"(15,342)","(11,759)"
Amounts received for disinvestments:,,
- Group and associated companies (Note 8),50,(450)
"- Property, plant and equipment (Note 6)","2,199",25
- Other assets (Note 24.a),342,377
,"2,591",(48)
Cash flows generated (used) in investing activities,"(12,751)","(11,807)"
