,,,,Thousand euros,,Years,
,,,,,Initial fair,Repayment,Grace
Company,Government entity,,Project,Face value,value,period,period
Lab. Farm. Rovi,Technological Corporation of Andalusia,,(1),54 46 28 24 46 40 12 10 148 122 200 179,,13,4
Lab. Farm. Rovi,Technological Corporation of Andalusia,,(1),,,12,3
Lab. Farm. Rovi,Technological Corporation of Andalusia,,(1),,,12,3
Lab. Farm. Rovi,Technological Corporation of Andalusia,,(1),,,13,4
Lab. Farm. Rovi,Industrial Technological Development Centre,,(1),,,7,1
Lab. Farm. Rovi,Industrial Technological Development Centre,,(1),,,11,4
Lab. Farm. Rovi,Industrial Technological Development Centre,,(2),106,92,16,4
Lab. Farm. Rovi,Industrial Technological Development Centre,,(2),94,80,16,3
Lab. Farm. Rovi,Industrial Technological Development Centre,,(1),279,248,10,3
Lab. Farm. Rovi,Industrial Technological Development Centre,,(1),373,310,7,1
,,,,"1,340","1,151",,
