Nivel cadena de valor,Descripción IRO,Impacto/ Riesgo/ Oportunidad,Real/ Potencial,Horizonte temporal,Políticas relacionadas
Conciliación laboral,,,,,
Operaciones propias,"El compromiso de ROVI con la conciliación laboral y familiar impulsa las mejores prácticas laborales en dicha materia, contribuyendo a mejorar el bienestar personal y familiar de su fuerza laboral.",Impacto positivo,Real,< 1 año,• Código Ético • Política de Conciliación Vida Laboral y Personal • Política de Derechos Humanos • Política de Sostenibilidad en materia Medioambiental y Social
Diálogo social,,,,,
Operaciones propias,"El compromiso de ROVI por mantener voluntariamente una actitud proactiva en el diálogo social favorece una comunicación fluida con los empleados, involucrándoles en la toma de decisiones.",Impacto positivo,Real,< 1 año,• Código Ético • Política de Derechos Humanos
Operaciones propias,El posible incumplimiento de los acuerdos consensuados en los Comités de Empresa entre ROVI y los trabajadores podría aumentar la rotación debido a la conflictividad laboral.,Riesgo,Potencial,< 1 año,
Empleo seguro,,,,,
Operaciones propias,"El empleo en ROVI se caracteriza por contratos mayoritariamente indefinidos, lo que refleja el compromiso del Grupo con sus trabajadores, fomentando su sentido de pertenencia y garantizando condiciones laborales seguras.",Impacto positivo,Real,< 1 año,• Código Ético
Operaciones propias,La pérdida de las actuales condiciones de empleo seguro en ROVI podría provocar la fuga de talento y poner en riesgo la continuidad del negocio.,Riesgo,Potencial,1-5 años,
Negociación colectiva,,,,,
Operaciones propias,"El compromiso de ROVI con la negociación colectiva, mediante su participación voluntaria y búsqueda de soluciones equilibradas, contribuye al bienestar de sus empleados.",Impacto positivo,Real,< 1 año,• Código Ético • Política de Derechos Humanos
Operaciones propias,La posible coacción por parte de ROVI sobre la libertad de negociación colectiva entre empleados y Comité de Empresa podría afectar al bienestar del personal y su nivel de satisfacción.,Impacto negativo,Potencial,< 1 año,
Operaciones propias,"La totalidad de los empleados de ROVI está sujeta al Convenio Colectivo de la Industria Química y, en el ámbito europeo, a los convenios colectivos aplicables en cada ubicación o, en su ausencia, a la legislación laboral general, asegurando condiciones laborales adecuadas para toda la fuerza laboral del Grupo.",Impacto positivo,Real,< 1 año,
Salud y seguridad,,,,,
Operaciones propias,"El compromiso de ROVI con la salud y seguridad de sus empleados, respaldado por mecanismos como la Política de Salud y Seguridad en Trabajo, la Política de Sostenibilidad en materia medioambiental y social y la certificación ISO 45001, minimiza los riesgos laborales y promueve conductas saludables en el trabajo.",Impacto positivo,Real,< 1 año,• Política de Salud y Seguridad en el Trabajo • Política de sostenibilidad en materia medioambiental y social • Código ético
Operaciones propias,"El posible fallo de algún mecanismo de control de salud y seguridad podría causar accidentes por exposición a productos químicos, ruido o por sobreesfuerzo.",Impacto negativo,Potencial,< 1 año,
