,,Ejercicio finalizado a 31 de diciembre de,
,Nota,2024,2023
OPERACIONES CONTINUADAS,,,575.661 551.271 24.390 10.567 (454.079) (451.197) (2.882) 10.284 9.962 322 (46.690) (38.001) (8.689) (75.765) (71.100) (4.866) 201 (10.226) 192 (72) (72)
Importe neto de la cifra de negocios,22,566.634,
Ventas,,540.516 26.118,
Prestación de servicios,,,
,,,
Variación de existencias de productos terminados y en curso,12,(18.789),
,,,
Aprovisionamientos,,(406.840),
Consumos,22 b),(405.122) (1.718),
"Deterioro de mercaderías, materias primas y otros aprovisionamientos",12,,
,,,
Otros ingresos de explotación,,15.415,
Ingresos accesorios y otros de gestión corriente,22 c),14.845 570,
Subvenciones de explotación incorporadas al resultado del ejercicio,22 d),,
,,,
Gastos de personal,22 e),(50.949),
"Sueldos, salarios y asimilados",,(41.685) (9.264),
Cargas sociales,,,
,,,
Otros gastos de explotación,,(82.923),
Servicios exteriores,22 f),(74.829) (8.157) 63,
Tributos,,,
"Pérdidas, deterioro y variación de provisiones por oper. comerciales",22 g),,
,,,
Amortización del inmovilizado,5 y 6,(9.408),
,17 6,,
Imputación de subvenciones de inmovilizado no financiero y otras,,330,
,,,
Deterioro y resultado por enajenaciones de inmovilizado,,31,
Resultados por enajenaciones y otras,,31,
,,,
RESULTADO DE EXPLOTACIÓN,,13.501,9.872
,,,1.423 (2.205) 28 (104) 1.097
Ingresos financieros,,65.566 (5.043) — 25 (190),
Gastos financieros,,,
Variación de valor razonable en instrumentos financieros,,,
Diferencias de cambio,,,
Deterioro y resultado por enajenaciones de instrumentos financieros,,,
,,,
RESULTADO FINANCIERO,24,60.358,239
,,,
RESULTADO ANTES DE IMPUESTOS,,73.859,10.111
,23,,1.960
Impuestos sobre beneficios,,1.687,
,,,
RESULTADO DEL EJERCICIO,16,75.546,12.071
