,,Equity attributed to parent company,,,,,,,
,,Equity,,,,,,,
,,,,,Profit/,,Adjust-,Non-,
,,Share,Share premium,Treasury,(loss) for the per.,Other equity,ments for,controlling,Total equity
,,capital,and reserves,stock,attributed to parent company,instru- ments,changes in value,interests,
Opening balance at 01/01/2017,3110,3.000,163.021,(8.701),26.089,,(3),,183.406
Adjustments for changes in accounting policies,3111,,,,,,,,
Adjustments for errors,3112,,,,,,,,
Adjusted opening balance,3115,3.000,163.021,(8.701),26.089,,(3),,183.406
I. Total recognized income/(expenses),3120,,,,17.241,,1,,17.242
II. Transactions with shareholders or owners,3125,,185,294,(9.025),,,,(8.546)
1. Capital increases/(reductions),3126,,,,,,,,
2. Conversion of financial liabilities to equity,3127,,,,,,,,
3. Distribution of dividends,3128,,,,(9.025),,,,(9.025)
4. Treasury stock transactions (net),3129,,185,294,,,,,479
5.Increases/(reductions) due to business combinations,3130,,,,,,,,
6. Other transactions with shareholders or owners,3132,,,,,,,,
III. Other equity transactions,3135,,16.649,,(17.064),,,,(415)
1. Payments based on equity instruments,3136,,,,,,,,
2. Transfers between equity items,3137,,17.064,,(17.064),,,,
3. Other changes,3138,,(415),,,,,,(415)
Closing balance at 31/12/2017,3140,3.000,179.855,(8.407),17.241,,(2),,191.687
