,,,,,,Annual period ended 31 December,,,,,
,,,Note,,,2018,,,2017,,
CONTINUING OPERATIONS,,,,,,,,,,,
Net sales,,,22 a),,,"291,202",,,"240,560",,
Sales of goods,,,,,,"291,202",,,"240,560",,
,Sales of goods,,,,,,"291,202",,,"240,560",
,,,,,,,,,,,
Change in inventories of finished products and work in progress,,,12,,,(490),,,"4,053",,
,Change in inventories of finished products and work in progress,,,12,,,(490),,,"4,053",
,,,,,,,,,,,
Non-current self-constructed assets,,,5,,,-,,,"2,057",,
,Non-current self-constructed assets,,,5,,,-,,,"2,057",
,,,,,,,,,,,
Procurements,,,,,,"(190,379)",,,"(144,574)",,
Raw materials and consumables used,,,22 b),,,"(188,443)",,,"(145,191)",,
Inventory write-down,,,12,,,"(1,936)",,,617,,
,Inventory write-down,,,12,,,"(1,936)",,,617,
,,,,,,,,,,,
Other operating income,,,,,,"5,380",,,"3,653",,
Ancillary and current management income,,,22 c),,,"4,658",,,"2,834",,
Operating grants recognised in profit and loss,,,22 d),,,722,,,819,,
,Operating grants recognised in profit and loss,,,22 d),,,722,,,819,
,,,,,,,,,,,
Employee benefit expenses,,,22 e),,,"(32,744)",,,"(29,520)",,
"Wages, salaries and similar remuneration",,,,,,"(27,801)",,,"(24,697)",,
Welfare charges,,,,,,"(4,943)",,,"(4,823)",,
,Welfare charges,,,,,,"(4,943)",,,"(4,823)",
,,,,,,,,,,,
Other operating expenses,,,,,,"(67,113)",,,"(66,013)",,
External services,,,22 f),,,"(65,396)",,,"(65,289)",,
Taxes,,,,,,"(1,837)",,,(758),,
"Losses, impairment and changes in trade provisions",,,,,,120,,,34,,
,"Losses, impairment and changes in trade provisions",,,,,,120,,,34,
,,,,,,,,,,,
"Amortisation, depreciation and impairment charges",,,5 & 6,,,"(7,753)",,,"(7,891)",,
,"Amortisation, depreciation and impairment charges",,,5 & 6,,,"(7,753)",,,"(7,891)",
,,,,,,,,,,,
Allocation of grants for non-financial assets and other,,,17,,,864,,,935,,
,Allocation of grants for non-financial assets and other,,,17,,,864,,,935,
,,,,,,,,,,,
,"Impairment and gains/(losses) on disposal of intangible assets and property,",,6,,,(39),,,(25),,
,plant and equipment,,,,,,,,,,
Gains/(losses) on sales and other,,,,,,(39),,,(25),,
,Gains/(losses) on sales and other,,,,,,(39),,,(25),
,,,,,,,,,,,
PROFIT/(LOSS) FROM OPERATING ACTIVITIES,,,,,,"(1,072)",,,"3,235",,
,PROFIT/(LOSS) FROM OPERATING ACTIVITIES,,,,,,"(1,072)",,,"3,235",
,,,,,,,,,,,
Finance revenue,,,,,,"12,845",,,"9,981",,
Finance expenses,,,,,,(684),,,(987),,
Change in fair value of financial instruments,,,,,,17,,,-,,
Exchange rate differences,,,,,,(56),,,-,,
Impairment and gains/(losses) on disposal of financial instruments,,,,,,2,,,-,,
,Impairment and gains/(losses) on disposal of financial instruments,,,,,,2,,,-,
,,,,,,,,,,,
FINANCE COSTS – NET,,,24,,,"12,124",,,"8,994",,
,FINANCE COSTS – NET,,,24,,,"12,124",,,"8,994",
,,,,,,,,,,,
PROFIT BEFORE INCOME TAX,,,,,,"11,052",,,"12,229",,
,PROFIT BEFORE INCOME TAX,,,,,,"11,052",,,"12,229",
,,,,,,,,,,,
Income tax,,,23,,,"4,529",,,"6,444",,
,Income tax,,,23,,,"4,529",,,"6,444",
,,,,,,,,,,,
PROFIT FOR THE YEAR,,,16,,,"15,581",,,"18,673",,
