Deferred tax liabilities,,,,,,,Grants donations and legacies received,Freedom of amortisation/ depreciation,Other,Total
,,,,,,,,,,
"At January 1, 2017",,,,,,,"(1,298)","(1,148)",(245),"(2,691)"
,"At January 1, 2017",,,,,,,,,
,(Charged)/credited to profit and loss,,,,,,-,(114),15,(99)
,Charged directly to equity,,,,,,139,-,-,139
"At 31 December, 2017",,,,,,,"(1,159)","(1,262)",(230),"(2,651)"
,"At 31 December, 2017",,,,,,,,,
,(Charged)/credited to profit and loss,,,,,,-,471,14,486
,Charged directly to equity,,,,,,120,-,-,119
"At 31 December, 2018",,,,,,,"(1,039)",(791),(216),"(2,046)"
,,,,,,,,,,
