,,Annual period ended 31 December,
,Note,2019,2018
Profit before income tax Adjustments to profit Changes in working capital Other cash flows from operating activities,,"25,712 12,152 (60,206) (7,693)","11,052 12,144 (36,096) 2,786"
Cash flows generated (used) in operating activities,25,"(30,035)","(10,114)"
Payments of investments Proceeds from disinvestments,,"(26,539) 157","(15,342) 2,591"
Cash flows generated (used) in investing activities,26,"(26,382)","(12,751)"
Proceeds from and payment of equity instruments Proceeds from and payment of financial liability instruments Dividend payments and remuneration of other equity instruments Transactions with treasury shares,,"- 28,214 (4,420) 153","88,000 (10,770) (5,952) (152)"
Cash flows generated (used) in financing activities,27,"23,947","71,126"
,,,
NET INCREASE / DECREASE IN CASH AND CASH EQUIVALENTS,,"(32,470)","48,261"
Cash and cash equivalents at beginning of the year Cash and cash equivalents at end of the year,13 13,"83,787 51,317","35,526 83,787"
