Concept,Unit,Value,Start,End,FY,FP,Form,Filed,Accession,__period__,company
AccountsPayableCurrent,USD,2625000000.0,,2014-12-31,2014,FY,10-K,2015-02-27,0000310158-15-000005,2014-01-01,Merck & Co.
AccountsPayableCurrent,USD,2625000000.0,,2014-12-31,2015,FY,10-K,2016-02-26,0000310158-16-000063,2015-01-01,Merck & Co.
AccountsPayableCurrent,USD,2533000000.0,,2015-12-31,2015,FY,10-K,2016-02-26,0000310158-16-000063,2015-01-01,Merck & Co.
AccountsPayableCurrent,USD,2533000000.0,,2015-12-31,2016,FY,10-K,2017-02-28,0000310158-17-000010,2016-01-01,Merck & Co.
AccountsPayableCurrent,USD,2807000000.0,,2016-12-31,2016,FY,10-K,2017-02-28,0000310158-17-000010,2016-01-01,Merck & Co.
AccountsPayableCurrent,USD,2807000000.0,,2016-12-31,2017,FY,10-K,2018-02-27,0000310158-18-000005,2017-01-01,Merck & Co.
AccountsPayableCurrent,USD,3102000000.0,,2017-12-31,2017,FY,10-K,2018-02-27,0000310158-18-000005,2017-01-01,Merck & Co.
AccountsPayableCurrent,USD,3102000000.0,,2017-12-31,2018,FY,10-K,2019-02-27,0000310158-19-000014,2018-01-01,Merck & Co.
AccountsPayableCurrent,USD,3318000000.0,,2018-12-31,2018,FY,10-K,2019-02-27,0000310158-19-000014,2018-01-01,Merck & Co.
AccountsPayableCurrent,USD,3318000000.0,,2018-12-31,2019,FY,10-K,2020-02-26,0000310158-20-000005,2019-01-01,Merck & Co.
AccountsPayableCurrent,USD,3738000000.0,,2019-12-31,2019,FY,10-K,2020-02-26,0000310158-20-000005,2019-01-01,Merck & Co.
AccountsPayableCurrent,USD,3738000000.0,,2019-12-31,2020,FY,10-K,2021-02-25,0000310158-21-000004,2020-01-01,Merck & Co.
AccountsPayableCurrent,USD,4594000000.0,,2020-12-31,2020,FY,10-K,2021-02-25,0000310158-21-000004,2020-01-01,Merck & Co.
AccountsPayableCurrent,USD,4327000000.0,,2020-12-31,2021,FY,10-K,2022-02-25,0000310158-22-000003,2021-01-01,Merck & Co.
AccountsPayableCurrent,USD,4609000000.0,,2021-12-31,2021,FY,10-K,2022-02-25,0000310158-22-000003,2021-01-01,Merck & Co.
AccountsPayableCurrent,USD,4609000000.0,,2021-12-31,2022,FY,10-K,2023-02-24,0001628280-23-005061,2022-01-01,Merck & Co.
AccountsPayableCurrent,USD,4264000000.0,,2022-12-31,2022,FY,10-K,2023-02-24,0001628280-23-005061,2022-01-01,Merck & Co.
AccountsPayableCurrent,USD,4264000000.0,,2022-12-31,2023,FY,10-K,2024-02-26,0001628280-24-006850,2023-01-01,Merck & Co.
AccountsPayableCurrent,USD,3922000000.0,,2023-12-31,2023,FY,10-K,2024-02-26,0001628280-24-006850,2023-01-01,Merck & Co.
AccountsPayableCurrent,USD,3922000000.0,,2023-12-31,2024,FY,10-K,2025-02-25,0001628280-25-007732,2024-01-01,Merck & Co.
AccountsPayableCurrent,USD,4079000000.0,,2024-12-31,2024,FY,10-K,2025-02-25,0001628280-25-007732,2024-01-01,Merck & Co.
AccountsPayableCurrent,USD,4079000000.0,,2024-12-31,2025,FY,10-K,2026-02-24,0000310158-26-000063,2025-01-01,Merck & Co.
AccountsPayableCurrent,USD,4404000000.0,,2025-12-31,2025,FY,10-K,2026-02-24,0000310158-26-000063,2025-01-01,Merck & Co.
AccountsReceivableNetCurrent,USD,6626000000.0,,2014-12-31,2014,FY,10-K,2015-02-27,0000310158-15-000005,2014-01-01,Merck & Co.
AccountsReceivableNetCurrent,USD,6626000000.0,,2014-12-31,2015,FY,10-K,2016-02-26,0000310158-16-000063,2015-01-01,Merck & Co.
AccountsReceivableNetCurrent,USD,6484000000.0,,2015-12-31,2015,FY,10-K,2016-02-26,0000310158-16-000063,2015-01-01,Merck & Co.
AccountsReceivableNetCurrent,USD,6484000000.0,,2015-12-31,2016,FY,10-K,2017-02-28,0000310158-17-000010,2016-01-01,Merck & Co.
AccountsReceivableNetCurrent,USD,7018000000.0,,2016-12-31,2016,FY,10-K,2017-02-28,0000310158-17-000010,2016-01-01,Merck & Co.
AccountsReceivableNetCurrent,USD,7018000000.0,,2016-12-31,2017,FY,10-K,2018-02-27,0000310158-18-000005,2017-01-01,Merck & Co.
