,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,5124000000.0,2869000000.0,1247000000.0,5740000000.0,6106000000.0,,
Repurchase Of Capital Stock,-1199000000.0,-1875000000.0,-1480000000.0,-2302000000.0,-2714000000.0,,
Repayment Of Debt,-87000000.0,-92000000.0,-1843000000.0,-646000000.0,-669000000.0,,
Issuance Of Debt,2190000000.0,11665000000.0,5121000000.0,135000000.0,850000000.0,,
Capital Expenditure,-758000000.0,-807000000.0,-1017000000.0,-831000000.0,-558000000.0,,
End Cash Position,7616000000.0,6877000000.0,11435000000.0,9556000000.0,6656000000.0,,
Beginning Cash Position,6877000000.0,11435000000.0,9556000000.0,6656000000.0,7066000000.0,,
Effect Of Exchange Rate Changes,-18000000.0,-77000000.0,36000000.0,-22000000.0,382000000.0,,
Changes In Cash,757000000.0,-4481000000.0,1843000000.0,2922000000.0,-792000000.0,,
Financing Cash Flow,-2020000000.0,3579000000.0,1683000000.0,-2789000000.0,-5213000000.0,,
Cash Flow From Continuing Financing Activities,-2020000000.0,3579000000.0,1683000000.0,-2789000000.0,-5213000000.0,,
Net Other Financing Charges,-67000000.0,78000000.0,-97000000.0,22000000.0,-215000000.0,,
Proceeds From Stock Option Exercised,14000000.0,,,2000000.0,20000000.0,1000000.0,0.0
Cash Dividends Paid,-2871000000.0,-6197000000.0,0.0,,-2485000000.0,-5333000000.0,
Common Stock Dividend Paid,-2871000000.0,-6197000000.0,0.0,,-2485000000.0,-5333000000.0,
Net Common Stock Issuance,-1199000000.0,-1875000000.0,-1480000000.0,-2302000000.0,-2714000000.0,,
Common Stock Payments,-1199000000.0,-1875000000.0,-1480000000.0,-2302000000.0,-2714000000.0,,
Net Issuance Payments Of Debt,2103000000.0,11573000000.0,3283000000.0,-511000000.0,181000000.0,,
Net Short Term Debt Issuance,188000000.0,728000000.0,-2607000000.0,-573000000.0,247000000.0,,
Short Term Debt Payments,-20000000.0,-19000000.0,-1770000000.0,-573000000.0,-603000000.0,,
Short Term Debt Issuance,208000000.0,747000000.0,,,850000000.0,556000000.0,-24000000.0
Net Long Term Debt Issuance,1915000000.0,10845000000.0,5890000000.0,62000000.0,-66000000.0,,
Long Term Debt Payments,-67000000.0,-73000000.0,-73000000.0,-73000000.0,-66000000.0,,
Long Term Debt Issuance,1982000000.0,10918000000.0,5963000000.0,135000000.0,,,0.0
Investing Cash Flow,-3105000000.0,-11736000000.0,-2104000000.0,-860000000.0,-2243000000.0,,
Cash Flow From Continuing Investing Activities,-3105000000.0,-11736000000.0,-2104000000.0,-860000000.0,-2243000000.0,,
Net Other Investing Changes,218000000.0,-3000000.0,-23000000.0,-1000000.0,-3000000.0,,
Net Investment Purchase And Sale,90000000.0,1112000000.0,-18000000.0,79000000.0,-8000000.0,,
Sale Of Investment,136000000.0,1166000000.0,72000000.0,179000000.0,50000000.0,,
Purchase Of Investment,-46000000.0,-54000000.0,-90000000.0,-100000000.0,-58000000.0,,
Net Business Purchase And Sale,-2681000000.0,-12043000000.0,-1159000000.0,-160000000.0,-1675000000.0,,
Sale Of Business,62000000.0,,,1000000.0,,,
Purchase Of Business,-2743000000.0,-12043000000.0,-1159000000.0,-161000000.0,-1675000000.0,,
Net Intangibles Purchase And Sale,-437000000.0,-461000000.0,-296000000.0,-425000000.0,-227000000.0,,
Sale Of Intangibles,,,112000000.0,52000000.0,,,37000000.0
Purchase Of Intangibles,-437000000.0,-461000000.0,-408000000.0,-477000000.0,-227000000.0,,
Net PPE Purchase And Sale,-295000000.0,-341000000.0,-608000000.0,-353000000.0,-330000000.0,,
Sale Of PPE,26000000.0,5000000.0,1000000.0,1000000.0,1000000.0,,
Purchase Of PPE,-321000000.0,-346000000.0,-609000000.0,-354000000.0,-331000000.0,,
Operating Cash Flow,5882000000.0,3676000000.0,2264000000.0,6571000000.0,6664000000.0,,
Cash Flow From Continuing Operating Activities,5882000000.0,3676000000.0,2264000000.0,6571000000.0,6664000000.0,,
Taxes Refund Paid,-398000000.0,-787000000.0,-981000000.0,-366000000.0,-675000000.0,,
Interest Received Cfo,44000000.0,83000000.0,88000000.0,61000000.0,39000000.0,,
Interest Paid Cfo,-339000000.0,-201000000.0,-211000000.0,-290000000.0,-248000000.0,,
Dividend Received Cfo,1000000.0,,0.0,,1000000.0,,0.0
Change In Working Capital,232000000.0,-787000000.0,-1587000000.0,1336000000.0,442000000.0,,
Change In Other Current Liabilities,620000000.0,-481000000.0,-1145000000.0,952000000.0,624000000.0,,
Change In Other Current Assets,22000000.0,346000000.0,-601000000.0,392000000.0,172000000.0,,
Change In Payables And Accrued Expense,-184000000.0,-53000000.0,102000000.0,-60000000.0,-143000000.0,,
Change In Payable,-184000000.0,-53000000.0,102000000.0,-60000000.0,-143000000.0,,
Change In Account Payable,-184000000.0,-53000000.0,102000000.0,-60000000.0,-143000000.0,,
Change In Inventory,30000000.0,-95000000.0,151000000.0,-128000000.0,-44000000.0,,
Change In Receivables,-256000000.0,-504000000.0,-94000000.0,180000000.0,-167000000.0,,
Changes In Account Receivables,-256000000.0,-504000000.0,-94000000.0,180000000.0,-167000000.0,,
Other Non Cash Items,179000000.0,104000000.0,-373000000.0,-54000000.0,454000000.0,,
Stock Based Compensation,267000000.0,303000000.0,299000000.0,268000000.0,267000000.0,,
Provisionand Write Offof Assets,466000000.0,70000000.0,193000000.0,43000000.0,665000000.0,,
Amortization Of Securities,6000000.0,-20000000.0,-15000000.0,-72000000.0,-4000000.0,,
