,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,57232148.9,551547000.76,123009475.09,-62915511.01,107102553.75
Repayment Of Debt,-6317691422.11,-9864347565.23,-9601300780.29,-6575538058.62,-8719811950.56
Issuance Of Debt,7821034931.63,9911659698.66,9695532604.4,6496493638.73,9191642484.92
Capital Expenditure,-1091365638.92,-1279911311.88,-955311140.77,-1118595389.46,-1383241353.3
End Cash Position,9576948039.39,9038010120.7,9215275522.04,9637323304.35,9391449787.11
Beginning Cash Position,9038010120.7,7936132457.47,9637323304.35,9391449787.11,9477388409.51
Effect Of Exchange Rate Changes,-158570564.25,-95983915.51,850216.37,8912313.03,97625297.57
Financing Cash Flow,1278195198.52,337114.04,-826572984.98,-633627288.84,-500296924.67
Net Other Financing Charges,24940684.61,207760455.3,-457224225.39,-240269233.09,-564862170.03
Cash Dividends Paid,-242361947.66,-235949067.46,-295896996.6,-301819304.05,-359924106.86
Net Long Term Debt Issuance,1503343509.52,47312133.43,94231824.11,-79044419.89,471830534.36
Long Term Debt Payments,-6317691422.11,-9864347565.23,-9601300780.29,-6575538058.62,-8719811950.56
Long Term Debt Issuance,7821034931.63,9911659698.66,9695532604.4,6496493638.73,9191642484.92
Investing Cash Flow,-1729284503.4,-633933847.94,-674645629.56,-185091385.4,-1173610902.35
Net Other Investing Changes,-249400189.32,-196066755.07,-13048348.13,-163399623.59,-17175129.52
Net Investment Purchase And Sale,-201082424.53,753031381.23,122309961.67,1093646647.2,230649889.06
Sale Of Investment,470080431.67,798721394.68,592318997.46,1168218393.18,144972728.83
Purchase Of Investment,-671162856.2,-45690013.45,-470009035.79,-74571745.98,85677160.23
Net Business Purchase And Sale,-231253640.22,49247237.42,171736314.58,1000000.0,-222892741.24
Sale Of Business,65841904.03,49247237.42,171736314.58,1000000.0,-7098628.63
Purchase Of Business,-297095544.25,0.0,,,
Net PPE Purchase And Sale,-1047548249.33,-1240145711.52,-955643557.68,-1116338409.01,-1164192920.65
Sale Of PPE,43817389.59,39765600.36,-332416.91,2256980.45,219048432.65
Purchase Of PPE,-1091365638.92,-1279911311.88,-955311140.77,-1118595389.46,-1383241353.3
Cash Flowsfromusedin Operating Activities Direct,1148597787.82,1831458312.64,1078320615.86,1055679878.45,1490343907.05
Taxes Refund Paid Direct,-565765497.66,-490179958.8,-747027400.54,-533124997.04,-675084157.42
Classesof Cash Payments,-9270117797.46,-8651366724.62,-9018026023.06,-8772260256.23,-9369182233.19
Other Cash Paymentsfrom Operating Activities,-2732744336.76,-2419945869.71,-2558205960.4,-2156323107.36,-2807679823.84
Paymentson Behalfof Employees,-3197848208.08,-2738030826.54,-2793639885.74,-3136229307.21,-2587967550.14
Paymentsto Suppliersfor Goodsand Services,-3339525252.62,-3493390028.37,-3666180176.92,-3479707841.66,-3973534859.21
Classesof Cash Receiptsfrom Operating Activities,10984481082.94,10973004996.06,10843374039.46,10361065131.72,11534610297.66
Other Cash Receiptsfrom Operating Activities,947760302.74,-305130524.93,768604162.95,227734707.59,662877397.1
Receiptsfrom Customers,10036720780.2,11278135520.99,10074769876.51,10133330424.13,10871732900.56
