,,,,,,,,,,,,
"Teva Pharmaceutical Industries Limited - טבע תעשיות פרמצבטיות בע""מ | Income Statement (As Reported)",,,,,,,,,,,,
NYSE: TEVA (MI KEY: 4324550; SPCIQ KEY: 308047),,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,
Period Type: Years,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,
Currency: Indian Rupee,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FY,2015 FY,2016 FY,2017 FY,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,2023 FY,2024 FY,2025 FY
Period Ended,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00,2023-12-31 00:00:00,2024-12-31 00:00:00,2025-12-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Spot Exchange Rate,63.215,66.22,67.915,63.824999999999996,69.6,71.1709,73.0256,74.5076,82.7602,83.2392,85.5796,89.8567
Average Exchange Rate,,,,,,,,,,,,
Revenues,,,,,,,,,,,,
Net Revenues,1281494.48,1301355.44,1487542.245,1394767.7249999999,1271661.5999999999,1201862.9883,1216533.4704,1183031.6728,1235195.9849999999,1319008.3632,1415828.9024,1550746.9286
Expenses,,,,,,,,,,,,
Cost of Sales,-582589.4400000001,-549361.12,-696128.7500000001,-717201.5249999999,-694260,-665519.0859000001,-652337.6847999999,-617220.9584,-658109.1104,-682561.44,-725800.5876,-747607.7440000001
Selling and Marketing,-244073.11500000002,-230313.16,-243339.44500000004,-216685.875,-202953.59999999998,-186040.73260000002,-182417.94879999998,-180978.96039999998,-187451.853,-194446.7712,-217457.7636,-241355.0962
General and Administrative,-76932.655,-90059.2,-94401.85,-92610.075,-90340.79999999999,-84835.71280000001,-85659.0288,-81883.8524,-97657.036,-96723.9504,-99357.9156,-115645.5729
Research and Development Expenses,-94063.92,-100985.5,-141059.45500000002,-113480.84999999999,-84424.79999999999,-71882.609,-72806.5232,-72048.8492,-69353.04759999999,-79326.9576,-85408.4408,-91024.8371
Other (Loss) Income,,10992.52,52226.635,76526.17499999999,20253.6,5408.9884,2921.024,7301.7447999999995,8855.3414,4078.7208,1198.1144,-1617.4206000000001
"Impairment, Restructuring and Other",-41089.75,,,,,,,,,,,
"Other Asset Impairments, Restructuring and Other Items",,-77874.72,-56369.450000000004,-117182.7,-68695.2,-30105.2907,-34979.2624,-25407.0916,-42373.2224,-59765.745599999995,-118784.4848,-94349.535
Intangible Assets Impairment,,,-40001.935000000005,-206665.34999999998,-138573.59999999998,-116649.1051,-109684.4512,-31591.2224,-29379.871,-29133.719999999998,-21480.4796,-23272.8853
Goodwill Impairments,,,-61123.50000000001,-1091407.5,-210679.19999999998,,-337962.4768,,-169244.609,-58267.439999999995,-109541.888,
Financial Income/expense Net,-19786.295000000002,-66220,-90326.95000000001,-57123.37499999999,-66746.4,-58502.4798,-60903.350399999996,-78829.0408,-79946.3532,-87983.83439999999,-83953.5876,-83926.1578
Ciq Balancing Calc.-expenses,,,,-63.824999999999996,,71.1709,-73.0256,74.5076,,,,-89.8567
"Litigation Settlement, Impairment and Restructuring Expenses-net",7016.865000000001,-41784.82,-61055.58500000001,-31912.499999999996,84076.79999999999,-83839.3202,-4381.536,-53421.949199999995,-172306.7364,-86818.4856,-65126.0756,-41963.0789
Earnings before Taxes,229976.17,155749.44,55961.96000000001,-1173039.6749999998,-180681.59999999998,-90031.1885,-321750.7936,49026.000799999994,-261770.5126,-51941.2608,-109884.2064,109894.74410000001
Taxes and Other Expenses,,,,,,,,,,,,
Provision for Income Tax,-37360.065,-41983.479999999996,-35383.715000000004,123373.72499999999,13571.999999999998,19785.5102,12268.300799999999,-15721.103599999999,53214.8086,582.6744,-57851.8096,16174.206
"Share in Profits/losses of Associated Companies, Net",-316.07500000000005,-8012.62,543.32,-191.475,-4941.599999999999,-925.2217,10077.532799999999,670.5684,1737.9642,166.4784,85.5796,1347.8505
Minority Interest (After Tax),821.7950000000001,-595.98,1222.47,11743.8,22411.199999999997,142.3418,7959.7904,-2905.7963999999997,4386.2906,4661.3952,27385.472,-628.9969
Difference in below EBT block,,,,,,-71.1709,73.0256,,,,,-89.8567
Net Income (Loss),193121.825,105157.36,22344.035000000003,-1038113.6249999999,-149640,-71099.7291,-291372.144,31069.6692,-202431.4492,-46530.7128,-140264.9644,126697.947
Charges on Net Income,,,,,,,,,,,,
Dividends on Preferred Stock,,-993.3,-17725.815000000002,-16594.5,-17330.399999999998,,,,,,,
Net Income Available to Common Shareholders,193121.825,104164.06,4618.22,-1054708.125,-166970.4,,,,,,,
Supplementary Info,,,,,,,,,,,,
Gross Profit/loss,698905.04,751994.32,791413.4950000001,677502.375,577401.6,536415.0733,564195.7856,565810.7143999999,577086.8746,636363.684,690113.8944,803139.1846
Operating Income (Loss),249762.46500000003,221969.44,146288.91,-1115916.2999999998,-113935.2,-31528.708700000003,-260847.44319999998,127855.0416,-181824.1594,36042.573599999996,-25930.6188,193820.9019
Basic EPS - Continuing Operations,226.30970000000002,121.8448,4.754050000000001,-1037.7945,-163.56,-64.76551900000001,-265.813184,28.312887999999997,-182.07244,-41.6196,-124.09042,110.523741
Diluted EPS - Continuing Operations,225.04540000000003,120.5204,4.754050000000001,-1037.7945,-163.56,-64.76551900000001,-265.813184,28.312887999999997,-182.07244,-41.6196,-124.09042,108.726607
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,
