,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Teva Pharmaceutical Industries Limited - טבע תעשיות פרמצבטיות בע""מ | Income Statement (As Reported)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYSE: TEVA (MI KEY: 4324550; SPCIQ KEY: 308047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ1,2015 FQ2,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ2,2016 FQ3,2016 FQ4,2017 FQ1,2017 FQ2,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ2,2018 FQ3,2018 FQ4,2019 FQ1,2019 FQ2,2019 FQ3,2019 FQ4,2020 FQ1,2020 FQ2,2020 FQ3,2020 FQ4,2021 FQ1,2021 FQ2,2021 FQ3,2021 FQ4,2022 FQ1,2022 FQ2,2022 FQ3,2022 FQ4,2023 FQ1,2023 FQ2,2023 FQ3,2023 FQ4,2024 FQ1,2024 FQ2,2024 FQ3,2024 FQ4,2025 FQ1,2025 FQ2,2025 FQ3,2025 FQ4
Period Ended,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Spot Exchange Rate,59.92,60.095000000000006,61.91,63.215,62.51500000000001,63.644999999999996,65.575,66.22,66.275,67.54499999999999,66.61500000000001,67.915,64.795,64.625,65.31500000000001,63.824999999999996,65.075,68.48,72.54499999999999,69.6,69.285,68.925,70.6534,71.1709,75.2998,75.5387,73.5287,73.0256,73.1601,74.3315,74.1725,74.5076,75.8898,79.0189,81.3744,82.7602,82.1208,82.06620000000001,83.0828,83.2392,83.31859999999999,83.3598,83.7825,85.5796,85.4467,85.76499999999999,88.8324,89.8567
Average Exchange Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Revenues,299659.92,303179.275,313140.77999999997,326695.12,311449.73000000004,316061.07,316268.22500000003,323219.82,318782.75,340291.70999999996,370579.24500000005,440904.18000000005,366091.75,369655,366874.35500000004,344527.35,329604.875,321924.48000000004,328556.30499999993,307492.8,287463.46499999997,287899.725,289184.36620000005,317991.5812,328081.22860000003,292334.76900000003,292497.1686,325256.0224,291323.5182,290636.16500000004,288308.5075,305481.16,277832.55779999995,299165.5554,292540.968,321440.6168,300644.2488,318252.7236,319868.78,370997.11439999996,318193.73339999997,347110.2072,362945.79,361916.1284,332473.10970000003,358154.63999999996,397969.152,423314.91370000003
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Sales,-138055.68,-143266.48,-139235.59,-144066.98500000002,-134157.19,-131363.28,-134559.9,-134691.48,-133809.225,-145964.74499999997,-183990.63000000003,-210672.33000000002,-182138.745,-185150.625,-193789.60500000004,-188539.05,-178956.25,-182704.64,-185134.83999999997,-170311.19999999998,-158870.505,-157424.69999999998,-159959.29760000002,-178638.959,-172737.74120000002,-159160.04090000002,-156322.0162,-175626.568,-153928.8504,-151413.2655,-155243.0425,-152666.0724,-145784.3058,-157405.6488,-156727.0944,-174872.3026,-170729.1432,-170861.82840000003,-166082.5172,-169891.2072,-170636.49279999998,-178389.972,-182897.1975,-180487.3764,-172089.6538,-177876.61,-193299.30240000002,-184745.3752
Selling and Marketing,-58961.28,-55347.495,-58814.5,-63594.29,-57638.83000000001,-54734.7,-51148.5,-60657.52,-55604.725000000006,-64302.83999999999,-62618.100000000006,-76676.035,-62073.61,-61006,-55060.54500000001,-52527.975,-48025.35,-46703.36,-50708.954999999994,-55471.2,-44896.68,-45904.049999999996,-42038.773,-50246.6554,-46158.777400000006,-45096.6039,-44484.8635,-49876.4848,-42798.6585,-45713.872500000005,-44280.9825,-47088.803199999995,-44319.6432,-46937.2266,-43860.8016,-45435.349799999996,-44837.9568,-49485.918600000005,-47855.692800000004,-50775.912,-50657.70879999999,-54684.02880000001,-52447.845,-55626.74,-53147.847400000006,-56090.30999999999,-58274.05440000001,-67662.0951
General and Administrative,-18095.84,-18148.690000000002,-18139.629999999997,-20228.800000000003,-19192.105000000003,-20684.625,-20721.7,-19270.02,-20147.600000000002,-21006.494999999995,-20650.65,-24449.4,-23714.97,-23458.875,-24297.180000000004,-22338.75,-21409.675,-21639.68,-22416.404999999995,-23942.399999999998,-20231.219999999998,-20401.8,-20136.219,-22632.3462,-22891.1392,-19942.216800000002,-20514.5073,-23879.371199999998,-21216.429,-17988.223,-21584.1975,-20564.097599999997,-22463.3808,-24732.9157,-23028.955199999997,-23917.697799999998,-24307.7568,-25194.3234,-22266.190400000003,-24222.6072,-23162.570799999998,-23590.8234,-24967.185,-25845.0392,-25377.6699,-26158.324999999997,-28159.8708,-32977.4089
Research and Development,-21151.760000000002,-20672.68,-25506.92,-23958.485,-20754.980000000003,-24566.969999999998,-23672.575,-29534.12,-25780.975000000002,-25329.374999999996,-44165.745,-46453.86000000001,-27991.440000000002,-30309.125,-34682.26500000001,-22083.449999999997,-20628.775,-19859.2,-22561.494999999995,-20532,-18083.385,-19023.3,-16956.816000000003,-16511.6488,-16641.255800000003,-16996.2075,-18970.4046,-21396.500799999998,-18582.6654,-18434.212,-16466.295,-18179.8544,-17075.204999999998,-18016.3092,-14240.519999999999,-17379.642,-19216.267200000002,-19695.888000000003,-21019.9484,-18895.2984,-20163.101199999997,-22423.786200000002,-20107.8,-21223.7408,-21105.3349,-20926.659999999996,-22741.0944,-23991.7389
"Impairment, Restructuring and Other",-3415.44,-8593.585000000001,-10153.24,-18079.49,-18691.985,-18138.824999999997,-25180.800000000003,-10793.86,-7886.725,-48092.03999999999,27312.150000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asset Impairments, Restructuring and Other Items",,,,,,,,,,,,-67779.17000000001,-15550.800000000001,-27077.875,-35923.25000000001,-66122.7,-32602.575,-13285.12,-10083.754999999997,-10648.8,-69.285,-6961.424999999999,-11304.544000000002,-11458.5149,-9111.275800000001,-28780.244700000003,7205.8126,-5476.92,-10022.9337,-2081.282,-4598.695,-8419.3588,-9713.8944,-9324.2302,-2929.4784,-17958.9634,-9033.288,-8863.1496,-4735.7196,-36874.965599999996,-56073.417799999996,-23340.744000000002,1926.9975,-39109.8772,1879.8274000000001,-19897.479999999996,-5507.6088,-69908.5126
Intangible Assets Impairment,,,,,,,,,,,,,,,,-180560.925,-13405.45,-35678.08,-37650.854999999996,-51851.99999999999,-32494.664999999997,-38666.924999999996,-12505.651800000001,-30816.9997,-48869.5702,-9064.644,-37426.1083,-16357.7344,-5779.6479,-14494.642500000002,-1557.6225,-9611.4804,-11307.580199999999,-4029.9639,-1952.9856,-10924.3464,-14617.502400000001,-5170.1706,-3904.8916000000004,-5077.5912,-6665.487999999999,-5084.947800000001,-2345.91,-6931.9475999999995,-10339.050700000002,-3602.129999999999,-5685.2736,-2875.4144
Goodwill Impairments,,,,,,,,,,,,-61123.50000000001,,-394212.5,,-702075,-11713.5,-8217.6,,-189799.19999999998,,,,,,,-340290.8236,,,,,,,-58869.080500000004,,-107588.26,,-57446.340000000004,,,,-33343.920000000006,-50269.5,-23962.288,,,,
Financial Income/expense Net,-4853.52,-4687.410000000001,-5200.44,-4425.05,-12002.880000000001,-2609.4449999999997,-45705.775,-4635.4,-19749.95,-7092.2249999999985,-9992.250000000002,-52769.955,-13412.565,-15380.75,-16916.585000000003,-12190.574999999999,-17635.325,-16161.28,-16612.804999999997,-15520.8,-15104.13,-14198.55,-14907.867400000001,-13237.787400000001,-16867.1552,-16845.130100000002,-8602.8579,-19570.8608,-21216.429,-20366.831000000002,-17875.5725,-18850.4228,-19579.5684,-16672.9879,-20506.3488,-20276.249,-21351.408,-21993.7416,-23263.184,-20726.5608,-20829.649999999998,-20089.7118,-22788.84,-18656.3528,-19225.507500000003,-21612.779999999995,-21053.2788,-19768.474000000002
Ciq Balancing Calc.-expenses,,,,,,,,,,,,,,,,,,,,,,,70.6534,,-150.5996,,,-73.0256,,,,-74.5076,75.8898,79.0189,-81.3744,82.7602,82.1208,-82.06620000000001,-83.0828,,,83.3598,-251.3475,,-170.8934,,88.8324,
Other Income/expense,,,,,,,,,,,,52226.635,4665.24,1551,261.26000000000005,70143.67499999999,13210.225,6574.08,2539.0749999999994,-2992.7999999999997,415.71,620.3249999999999,989.1476,3345.0323000000003,978.8974000000001,679.8483000000001,588.2296,730.256,365.8005,3196.2545,1854.3125,1937.1976,3946.2695999999996,2686.6426,162.7488,1572.4438,164.2416,2708.1846000000005,747.7452000000001,499.4352,-83.31859999999999,166.7196,1759.4325,-684.6368,-427.23350000000005,-343.05999999999995,-621.8268,-269.5701
"Legal Settlements, Acquisition and Restructuring Expenses and Impairment",-1737.68,-1562.4700000000003,7553.0199999999995,2781.46,-14190.905000000002,-24439.68,5246,-6622,1656.8750000000002,-11212.469999999998,-35505.795000000006,-15280.875000000002,-1295.9,-20938.5,1306.3000000000002,-11233.199999999999,83165.85,-1369.6000000000001,-1378.3549999999998,-2157.6,-3949.245,-44525.549999999996,-33065.7912,-498.1963,1882.4950000000001,-982.0031000000001,-1544.1027,-3651.2799999999997,-7608.6504,-445.98900000000003,-222.51749999999998,-45002.5904,-85300.13519999999,-57604.7781,-15868.007999999998,-2813.8468,-19134.1464,-37914.58440000001,-26087.999200000002,-2830.1328,-8831.771599999998,-6918.8634,-37702.125,-10526.2908,-7348.416200000001,-14236.989999999998,-5329.944,-13927.7885
Earnings before Taxes,53388.72,50900.465000000004,63643.479999999996,55123.48,34820.855,39523.545,20524.975000000002,57015.42,57460.425,17291.519999999997,40968.225000000006,-62074.310000000005,44578.96,-386328.25,7772.4850000000015,-843000.6,81604.05,-17120,-15452.084999999997,-235735.19999999998,-5819.94,-58586.25,-20630.792800000003,-2704.4942,-2484.8934,-3852.4737000000005,-327864.4733,10077.532799999999,10535.0544,22894.102000000003,28333.895,-13038.83,-73688.99579999999,-91661.924,13508.150399999999,-98070.837,-22336.8576,-75747.10260000001,5317.2992,42202.274399999995,-38909.786199999995,-20506.5108,-27145.53,-21138.1612,25121.329800000003,17410.295,57385.73040000001,7188.536
Taxes and Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,-8568.56,-6129.6900000000005,-9905.599999999999,-11757.99,-6501.56,-5600.759999999999,-12655.975,-16488.78,-15110.7,-1958.8049999999996,-13789.305000000002,-3871.155,-3498.9300000000003,1421.75,32265.610000000004,93886.575,-2993.4500000000003,5204.4800000000005,1886.1699999999996,9674.4,-623.5649999999999,12337.574999999999,-777.1874,8469.3371,4442.6882000000005,7856.024800000001,-1176.4592,1606.5632,-4535.9262,-7284.487000000001,-5637.11,1788.1824,-151.7796,71117.01,-8707.0608,-12331.2698,1560.2952,1313.0592000000001,996.9936,-3579.2855999999997,4332.5671999999995,-52516.674000000006,-5780.9925,-2481.8084,-6323.0558,6689.669999999999,-19010.1336,34954.2563
