,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,322000000.0,264100000.0,580900000.0,645200000.0,165600000.0,,
Repurchase Of Capital Stock,-150000000.0,0.0,-85100000.0,-65000000.0,-175000000.0,,
Repayment Of Debt,,,-100000.0,0.0,,,-1374300000.0
Issuance Of Capital Stock,700000.0,500000.0,600000.0,700000.0,700000.0,,
Capital Expenditure,-59800000.0,-124200000.0,-234900000.0,-99700000.0,-54100000.0,,
End Cash Position,890000000.0,1805700000.0,1348000000.0,1003500000.0,567800000.0,,
Beginning Cash Position,1805700000.0,1348000000.0,1003500000.0,567800000.0,756300000.0,,
Effect Of Exchange Rate Changes,-3300000.0,-4200000.0,-23700000.0,17800000.0,6700000.0,,
Changes In Cash,-912400000.0,461900000.0,368200000.0,417900000.0,-195200000.0,,
Financing Cash Flow,-1242600000.0,-203800000.0,-236400000.0,-228100000.0,-362400000.0,,
Cash Flow From Continuing Financing Activities,-1242600000.0,-203800000.0,-236400000.0,-228100000.0,-362400000.0,,
Net Other Financing Charges,-31300000.0,-64700000.0,-12100000.0,-24200000.0,-48300000.0,,
Cash Dividends Paid,-139800000.0,-139600000.0,-138200000.0,-139900000.0,-139800000.0,,
Common Stock Dividend Paid,-139800000.0,-139600000.0,-138200000.0,-139900000.0,-139800000.0,,
Net Common Stock Issuance,-149300000.0,500000.0,-84500000.0,-64300000.0,-174300000.0,,
Common Stock Payments,-150000000.0,0.0,-85100000.0,-65000000.0,-175000000.0,,
Common Stock Issuance,700000.0,500000.0,600000.0,700000.0,700000.0,,
Net Issuance Payments Of Debt,-922200000.0,0.0,-1600000.0,300000.0,0.0,,
Net Short Term Debt Issuance,0.0,0.0,-1500000.0,300000.0,0.0,,
Net Long Term Debt Issuance,,,-100000.0,0.0,,,-1374300000.0
Long Term Debt Payments,,,-100000.0,0.0,,,-1374300000.0
Investing Cash Flow,-51600000.0,277400000.0,-211200000.0,-98900000.0,-52500000.0,,
Cash Flow From Continuing Investing Activities,-51600000.0,277400000.0,-211200000.0,-98900000.0,-52500000.0,,
Net Other Investing Changes,,,,,,,-3100000.0
Net Investment Purchase And Sale,0.0,400000000.0,0.0,0.0,0.0,,
Sale Of Investment,9300000.0,407500000.0,5800000.0,7200000.0,6300000.0,,
Purchase Of Investment,-9300000.0,-7500000.0,-5800000.0,-7200000.0,-6300000.0,,
Net Business Purchase And Sale,,,0.0,0.0,0.0,0.0,0.0
Purchase Of Business,,,0.0,0.0,0.0,0.0,0.0
Net Intangibles Purchase And Sale,-7000000.0,-84300000.0,-38400000.0,-12900000.0,-1200000.0,,
Purchase Of Intangibles,-7000000.0,-84300000.0,-38400000.0,-12900000.0,-1200000.0,,
Net PPE Purchase And Sale,8200000.0,1600000.0,21200000.0,800000.0,1600000.0,,
Sale Of PPE,8200000.0,1600000.0,21200000.0,800000.0,1600000.0,,
Capital Expenditure Reported,-52800000.0,-39900000.0,-196500000.0,-86800000.0,-52900000.0,,
Operating Cash Flow,381800000.0,388300000.0,815800000.0,744900000.0,219700000.0,,
Cash Flow From Continuing Operating Activities,381800000.0,388300000.0,815800000.0,744900000.0,219700000.0,,
Change In Working Capital,-347300000.0,-702900000.0,391800000.0,126000000.0,-982300000.0,,
Change In Other Working Capital,-100100000.0,-486300000.0,85600000.0,108000000.0,-642400000.0,,
Change In Payables And Accrued Expense,-21200000.0,32700000.0,18500000.0,3200000.0,-291300000.0,,
Change In Payable,-21200000.0,32700000.0,18500000.0,3200000.0,-291300000.0,,
Change In Account Payable,-21200000.0,32700000.0,18500000.0,3200000.0,-291300000.0,,
Change In Inventory,-99500000.0,-123000000.0,15800000.0,110500000.0,-39000000.0,,
Change In Receivables,-126500000.0,-126300000.0,271900000.0,-95700000.0,-9600000.0,,
Changes In Account Receivables,-126500000.0,-126300000.0,271900000.0,-95700000.0,-9600000.0,,
Other Non Cash Items,261400000.0,246300000.0,123400000.0,161400000.0,494900000.0,,
Stock Based Compensation,38700000.0,48200000.0,49400000.0,36000000.0,37100000.0,,
Asset Impairment Charge,0.0,0.0,0.0,0.0,0.0,,
Deferred Tax,-124500000.0,-69700000.0,-248200000.0,-137200000.0,-47500000.0,,
Deferred Income Tax,-124500000.0,-69700000.0,-248200000.0,-137200000.0,-47500000.0,,
Depreciation Amortization Depletion,672300000.0,676100000.0,766800000.0,688500000.0,678300000.0,,
Depreciation And Amortization,672300000.0,676100000.0,766800000.0,688500000.0,678300000.0,,
Operating Gains Losses,0.0,13900000.0,72700000.0,-1600000.0,43800000.0,,
Gain Loss On Sale Of Business,0.0,13900000.0,21900000.0,-1600000.0,43800000.0,,
Net Income From Continuing Operations,-118800000.0,176400000.0,-340100000.0,-128200000.0,-4600000.0,,
