,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhejiang Hisun Pharmaceutical Co., Ltd. - 浙江海正药业股份有限公司 | Income Statement (As Reported)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHSE: 600267 (MI KEY: 4812234; SPCIQ KEY: 5842289),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ3,2014 FQ4,2015 FQ1,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ3,2016 FQ4,2017 FQ1,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ3,2018 FQ4,2019 FQ1,2019 FQ3,2019 FQ4,2020 FQ1,2020 FQ4,2021 FQ1,2021 FQ4,2022 FQ1,2022 FQ4,2023 FQ1,2023 FQ4,2024 FQ1,2024 FQ4,2025 FQ1,2025 FQ4,2026 FQ1
Period Ended,2014-03-31 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute
Spot Exchange Rate,9.638399176,10.08552578,10.192679781,10.083877732,10.315724892999999,10.199460916,10.268348233,9.988304620000001,9.781231097,9.41062844,9.817523185,9.80911983,10.373328231999999,10.561370816,10.119662096,10.323171822,9.884359261,10.221445088,10.632561423,11.18549153,11.165048988,11.728678021999999,11.970188804,11.999101084000001,11.954929249000001,11.738876588,11.539173187000001,11.724678385,11.775194653,12.846948988000001,13.594474005
Average Exchange Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue from Main Operations,22236011785.82417,26712691503.298553,25970008524.12937,23754842530.086502,22658686751.52736,19432079268.847294,24455821822.17993,26033035897.28392,21872066132.53742,25766174747.54761,26223827757.381184,21265746311.744896,29270343280.14746,26121161755.48296,21510625605.354164,28879490789.354233,26154510320.44485,25506045555.30329,26574311725.579906,31952363988.037,34253656589.18958,32781066193.80154,35637703911.07113,35573004309.15349,36624332332.13042,17099429195.878845,31462885626.760242,26386269323.711964,30990172086.980446,32092731686.535652,32497153157.000366
Other Operating Income,,,1299615705.0847814,,,1582644428.6307068,,,1580463591.794545,,,2229241203.4009,,,2601990832.104647,,,2705954825.307482,,3846509735.105619,,,,,,,,,,,
Other Operations,,,,,,,,,,,,,,,,,,,,,,2745372735.8596635,,,,2530044983.861685,,2523344833.637974,,1654234767.7177384,
Other Business,,,,,,,,,,,,,,,,,,,,,,,,3937417444.915366,,,,,,,
Total Revenues,22236011785.82417,26712691503.298553,27269624229.214157,23754842530.086502,22658686751.52736,21014723697.478,24455821822.17993,26033035897.28392,23452529724.331963,25766174747.54761,26223827757.381184,23494987515.145794,29270343280.14746,26121161755.48296,24112616437.458813,28879490789.354233,26154510320.44485,28212000380.610775,26574311725.579906,35798873723.14262,34253656589.18958,35526438929.66121,35637703911.07113,39510421754.06886,36624332332.13042,19629474179.74053,31462885626.760242,28909614157.349937,30990172086.980446,33746966454.253387,32497153157.000366
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
